Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Garlic Variant-774,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–6g/day,None known,Avoid with diabetes drugs,Africa
Garlic Variant-775,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–10g/day,Mild heartburn,May interact with blood thinners,Middle East
Turmeric Variant-776,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,Mild heartburn,None known,Asia
Moringa Variant-777,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–10g/day,Mild heartburn,May interact with blood thinners,Middle East
Clove Variant-778,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–9g/day,Stomach upset,Avoid with diabetes drugs,Africa
Garlic Variant-779,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–9g/day,Stomach upset,Avoid with diabetes drugs,Middle East
Scent Leaf Variant-780,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–7g/day,None known,Enhances anticoagulants,Africa
Bitter Leaf Variant-781,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–9g/day,None known,Avoid with laxatives,South America
Moringa Variant-782,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–7g/day,Dizziness,Enhances anticoagulants,Europe
Aloe Vera Variant-783,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–6g/day,Dizziness,Avoid with diabetes drugs,Middle East
Clove Variant-784,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–10g/day,Dizziness,Avoid with laxatives,Africa
Hibiscus Variant-785,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–6g/day,Stomach upset,May interact with blood thinners,Middle East
Ginger Variant-786,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–7g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
Bitter Leaf Variant-787,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–9g/day,Dizziness,Avoid with diabetes drugs,Middle East
Aloe Vera Variant-788,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–9g/day,Mild heartburn,None known,Asia
Ginger Variant-789,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–9g/day,Mild heartburn,May interact with blood thinners,South America
Turmeric Variant-790,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,Mild heartburn,Enhances anticoagulants,Asia
Scent Leaf Variant-791,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–7g/day,None known,Enhances anticoagulants,Asia
Moringa Variant-792,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,Liver stress (overdose),Enhances anticoagulants,India
Bitter Leaf Variant-793,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–10g/day,Dizziness,Avoid with laxatives,Europe
Garlic Variant-794,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,Stomach upset,Avoid with laxatives,Asia
Turmeric Variant-795,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–9g/day,Dizziness,Avoid with diabetes drugs,Asia
Hibiscus Variant-796,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–10g/day,Dizziness,Enhances anticoagulants,South America
Moringa Variant-797,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,Mild heartburn,Enhances anticoagulants,South America
Neem Variant-798,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–8g/day,Liver stress (overdose),None known,Middle East
Neem Variant-799,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Dizziness,None known,Europe
Garlic Variant-800,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–7g/day,None known,Avoid with diabetes drugs,Asia
Moringa Variant-801,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,None known,Enhances anticoagulants,Africa
Aloe Vera Variant-802,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–6g/day,Liver stress (overdose),None known,South America
Neem Variant-803,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–6g/day,Stomach upset,Avoid with diabetes drugs,South America
Bitter Leaf Variant-804,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–8g/day,Dizziness,Avoid with laxatives,Africa
Turmeric Variant-805,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,None known,Avoid with laxatives,Asia
Aloe Vera Variant-806,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–7g/day,Dizziness,Enhances anticoagulants,Europe
Scent Leaf Variant-807,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,Mild heartburn,May interact with blood thinners,South America
Moringa Variant-808,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–9g/day,None known,Avoid with diabetes drugs,Africa
Aloe Vera Variant-809,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–7g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Moringa Variant-810,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–6g/day,Dizziness,Enhances anticoagulants,Middle East
Garlic Variant-811,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,Liver stress (overdose),May interact with blood thinners,India
Aloe Vera Variant-812,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–6g/day,None known,Avoid with diabetes drugs,Middle East
Neem Variant-813,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Liver stress (overdose),Avoid with laxatives,Asia
Bitter Leaf Variant-814,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–7g/day,Mild heartburn,May interact with blood thinners,South America
Ginger Variant-815,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–7g/day,Liver stress (overdose),May interact with blood thinners,India
Neem Variant-816,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–8g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Clove Variant-817,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–6g/day,None known,May interact with blood thinners,Africa
Neem Variant-818,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,Mild heartburn,Enhances anticoagulants,South America
Garlic Variant-819,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,Liver stress (overdose),Avoid with diabetes drugs,Europe
Clove Variant-820,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–9g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Garlic Variant-821,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–9g/day,None known,None known,Europe
Clove Variant-822,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–8g/day,Stomach upset,Avoid with diabetes drugs,Middle East
Bitter Leaf Variant-823,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–7g/day,Stomach upset,Enhances anticoagulants,Europe
Clove Variant-824,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–10g/day,Stomach upset,Avoid with diabetes drugs,Europe
Moringa Variant-825,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–8g/day,None known,May interact with blood thinners,South America
Bitter Leaf Variant-826,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–10g/day,Mild heartburn,None known,Africa
Bitter Leaf Variant-827,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–7g/day,Dizziness,Avoid with laxatives,India
Hibiscus Variant-828,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–9g/day,None known,May interact with blood thinners,Europe
Moringa Variant-829,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–6g/day,None known,Enhances anticoagulants,Africa
Bitter Leaf Variant-830,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Stomach upset,Avoid with laxatives,Asia
Clove Variant-831,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–7g/day,None known,Avoid with laxatives,India
Ginger Variant-832,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Turmeric Variant-833,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–6g/day,None known,Enhances anticoagulants,Europe
Clove Variant-834,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–6g/day,Dizziness,None known,Europe
Moringa Variant-835,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,None known,None known,India
Turmeric Variant-836,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–10g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Garlic Variant-837,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,Stomach upset,Avoid with laxatives,Europe
Moringa Variant-838,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–10g/day,Dizziness,Avoid with diabetes drugs,India
Aloe Vera Variant-839,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–6g/day,Mild heartburn,Avoid with laxatives,Europe
Aloe Vera Variant-840,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–8g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Clove Variant-841,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–8g/day,None known,May interact with blood thinners,South America
Ginger Variant-842,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–6g/day,Liver stress (overdose),May interact with blood thinners,Asia
Aloe Vera Variant-843,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Mild heartburn,None known,India
Aloe Vera Variant-844,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–10g/day,Liver stress (overdose),None known,South America
Hibiscus Variant-845,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–10g/day,None known,May interact with blood thinners,Africa
Hibiscus Variant-846,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Liver stress (overdose),None known,Africa
Bitter Leaf Variant-847,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–8g/day,Mild heartburn,May interact with blood thinners,Africa
Garlic Variant-848,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–6g/day,None known,None known,Asia
Scent Leaf Variant-849,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–8g/day,Stomach upset,Enhances anticoagulants,Asia
Moringa Variant-850,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–10g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Moringa Variant-851,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–10g/day,Dizziness,Avoid with diabetes drugs,Asia
Moringa Variant-852,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–10g/day,Stomach upset,Avoid with laxatives,India
Garlic Variant-853,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–6g/day,Liver stress (overdose),Avoid with laxatives,Europe
Turmeric Variant-854,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,Stomach upset,Avoid with laxatives,India
Hibiscus Variant-855,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–7g/day,Mild heartburn,Avoid with laxatives,Middle East
Aloe Vera Variant-856,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–8g/day,None known,Enhances anticoagulants,Africa
Ginger Variant-857,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–8g/day,None known,Avoid with laxatives,Europe
Bitter Leaf Variant-858,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–8g/day,Dizziness,May interact with blood thinners,Asia
Scent Leaf Variant-859,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–9g/day,Liver stress (overdose),Avoid with diabetes drugs,Africa
Garlic Variant-860,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–6g/day,None known,Enhances anticoagulants,Asia
Aloe Vera Variant-861,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–9g/day,Stomach upset,Avoid with diabetes drugs,Middle East
Turmeric Variant-862,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–7g/day,Dizziness,Avoid with laxatives,Asia
Bitter Leaf Variant-863,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–8g/day,Mild heartburn,May interact with blood thinners,Middle East
Moringa Variant-864,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–6g/day,Mild heartburn,Avoid with diabetes drugs,Asia
